dwarf_id,hired_date,reported_date,gold_mined,hammer_date
1,2014-01-01,2014-01-31,656,2014-01-01
1,2014-01-01,2014-02-28,565,2014-01-01
1,2014-01-01,2014-03-31,516,2014-01-01
1,2014-01-01,2014-04-30,568,2014-01-01
1,2014-01-01,2014-05-31,556,2014-01-01
1,2014-01-01,2014-06-30,565,2014-01-01
1,2014-01-01,2014-07-31,512,2014-01-01
1,2014-01-01,2014-08-31,547,2014-01-01
1,2014-01-01,2014-09-30,507,2014-01-01
1,2014-01-01,2014-10-31,487,2014-01-01
1,2014-01-01,2014-11-30,500,2014-01-01
1,2014-01-01,2014-12-31,485,2014-01-01
1,2014-01-01,2015-01-31,489,2014-01-01
1,2014-01-01,2015-02-28,428,2014-01-01
1,2014-01-01,2015-03-31,479,2014-01-01
1,2014-01-01,2015-04-30,445,2014-01-01
1,2014-01-01,2015-05-31,446,2014-01-01
1,2014-01-01,2015-06-30,505,2014-01-01
1,2014-01-01,2015-07-31,407,2014-01-01
1,2014-01-01,2015-08-31,409,2014-01-01
2,2014-01-01,2014-01-31,561,2014-01-01
2,2014-01-01,2014-02-28,580,2014-01-01
2,2014-01-01,2014-03-31,542,2014-01-01
2,2014-01-01,2014-04-30,600,2014-01-01
2,2014-01-01,2014-05-31,573,2014-01-01
2,2014-01-01,2014-06-30,553,2014-01-01
2,2014-01-01,2014-07-31,520,2014-01-01
2,2014-01-01,2014-08-31,577,2014-01-01
2,2014-01-01,2014-09-30,498,2014-01-01
2,2014-01-01,2014-10-31,525,2014-01-01
2,2014-01-01,2014-11-30,480,2014-01-01
2,2014-01-01,2014-12-31,479,2014-01-01
2,2014-01-01,2015-01-31,501,2014-01-01
2,2014-01-01,2015-02-28,437,2014-01-01
2,2014-01-01,2015-03-31,460,2014-01-01
2,2014-01-01,2015-04-30,501,2014-01-01
2,2014-01-01,2015-05-31,453,2014-01-01
2,2014-01-01,2015-06-30,406,2014-01-01
2,2014-01-01,2015-07-31,384,2014-01-01
2,2014-01-01,2015-08-31,435,2014-01-01
3,2014-01-01,2014-01-31,641,2014-01-01
3,2014-01-01,2014-02-28,589,2014-01-01
3,2014-01-01,2014-03-31,587,2014-01-01
3,2014-01-01,2014-04-30,559,2014-01-01
3,2014-01-01,2014-05-31,533,2014-01-01
3,2014-01-01,2014-06-30,529,2014-01-01
3,2014-01-01,2014-07-31,486,2014-01-01
